t_s,status,latency_ms,note
0.344,200,343.57,
0.585,200,241.13,
0.833,200,248.46,
1.17,200,337.05,
1.396,200,225.36,
1.612,200,216.5,
1.826,200,213.33,
2.067,200,241.12,
2.276,200,209.25,
2.487,200,211.13,
2.702,200,214.47,
2.913,200,211.05,
3.124,200,210.73,
3.334,200,210.49,
3.558,200,223.73,
3.765,200,207.1,
3.978,200,213.33,
4.192,200,213.39,
4.396,200,204.31,
4.613,200,216.73,
4.825,200,212.43,
5.037,200,212.19,
5.263,200,225.69,
5.475,200,211.73,
5.692,200,217.5,
5.951,200,258.23,
6.157,200,205.97,
6.404,200,247.75,
6.607,200,202.41,
6.811,200,203.9,
7.028,200,217.16,
7.23,200,202.36,
7.454,200,223.97,
7.663,200,208.91,
7.867,200,204.05,
8.084,200,217.15,
8.296,200,211.86,
8.871,200,574.34,
9.109,200,238.75,
9.335,200,225.09,
9.548,200,213.06,
9.785,200,237.46,
10.004,200,219.28,
10.25,200,245.09,
10.492,200,242.92,
10.714,200,221.18,
10.924,200,210.2,
11.134,200,209.61,
11.356,200,222.2,
11.578,200,222.45,
11.798,200,219.43,
12.012,200,214.04,
12.234,200,222.52,
12.457,200,222.58,
12.671,200,214.05,
12.902,200,230.54,
13.111,200,209.81,
13.318,200,206.99,
13.529,200,210.38,
13.841,200,312.07,
14.112,200,270.93,
14.464,200,352.03,
14.722,200,258.38,
14.936,200,213.38,
15.16,200,224.51,
15.37,200,209.92,
15.582,200,211.61,
15.804,200,222.06,
16.017,200,213.53,
16.228,200,210.71,
16.437,200,208.82,
16.646,200,208.96,
16.858,200,211.77,
17.072,200,214.56,
17.291,200,218.3,
17.503,200,212.04,
17.708,200,204.98,
17.925,200,217.37,
18.134,200,209.39,
18.347,200,212.22,
18.554,200,206.87,
18.775,200,221.59,
18.99,200,215.14,
19.228,200,237.28,
19.476,200,248.64,
19.684,200,207.39,
19.894,200,210.39,
20.139,200,244.65,
20.361,200,222.42,
20.576,200,214.47,
20.797,200,220.86,
21.015,200,218.79,
21.237,200,221.6,
21.446,200,209.38,
21.666,200,219.59,
21.877,200,211.26,
22.088,200,210.37,
22.304,200,216.49,
22.51,200,205.31,
22.72,200,210.45,
22.931,200,211.46,
23.144,200,212.67,
23.356,200,212.07,
23.559,200,202.46,
23.761,200,201.99,
23.978,200,216.79,
24.192,200,214.53,
24.436,200,243.38,
24.655,200,219.55,
24.86,200,204.55,
25.091,200,231.49,
25.306,200,214.49,
25.531,200,224.85,
25.747,200,216.48,
25.971,200,224.0,
26.23,200,258.86,
26.458,200,228.27,
26.676,200,217.62,
26.896,200,220.26,
27.124,200,228.14,
27.337,200,212.32,
27.555,200,218.27,
27.762,200,207.24,
27.976,200,213.59,
28.184,200,207.96,
28.396,200,212.29,
28.608,200,212.22,
28.823,200,214.89,
29.097,200,273.32,
29.317,200,220.57,
29.525,200,207.38,
29.748,200,223.56,
29.979,200,230.9,
30.36,200,380.5,
30.597,200,237.21,
30.838,200,241.53,
31.051,200,212.18,
31.266,200,214.9,
31.483,200,217.73,
31.688,200,204.88,
31.919,200,230.67,
32.13,200,211.2,
32.344,200,213.51,
32.582,200,237.99,
32.8,200,218.66,
33.011,200,210.6,
33.219,200,208.29,
33.428,200,209.13,
33.661,200,232.19,
33.89,200,229.71,
34.11,200,220.15,
34.325,200,214.07,
34.531,200,206.67,
34.746,200,214.43,
34.959,200,212.89,
35.247,200,288.68,
35.459,200,211.67,
35.662,200,202.7,
35.882,200,220.48,
36.101,200,218.57,
36.356,200,255.05,
36.565,200,208.76,
36.768,200,203.71,
36.978,200,209.98,
37.184,200,205.8,
37.403,200,218.68,
37.62,200,217.49,
37.824,200,203.52,
38.037,200,212.79,
38.251,200,214.22,
38.46,200,208.98,
38.669,200,208.75,
38.874,200,204.98,
39.091,200,217.56,
39.299,200,208.17,
39.539,200,239.67,
39.78,200,240.96,
39.989,200,209.13,
40.271,200,281.55,
40.52,200,249.11,
40.728,200,208.54,
40.951,200,222.12,
41.161,200,210.36,
41.388,200,226.55,
41.606,200,217.96,
41.813,200,207.61,
42.027,200,213.43,
42.251,200,224.04,
42.463,200,212.36,
42.686,200,223.2,
42.906,200,219.49,
43.12,200,214.43,
43.333,200,213.16,
43.56,200,226.86,
43.972,200,411.91,
44.251,200,278.55,
44.637,200,386.45,
44.931,200,293.22,
45.167,200,236.63,
45.387,200,219.9,
45.602,200,214.45,
45.815,200,212.97,
46.029,200,213.88,
46.253,200,224.62,
46.469,200,215.9,
46.67,200,200.7,
46.879,200,209.63,
47.083,200,203.82,
47.294,200,210.63,
47.502,200,207.79,
47.706,200,204.69,
47.918,200,211.5,
48.119,200,201.17,
48.337,200,217.35,
48.544,200,207.09,
48.748,200,204.15,
48.957,200,209.4,
49.161,200,203.35,
49.373,200,212.9,
49.607,200,233.32,
49.811,200,203.79,
50.02,200,209.63,
50.237,200,216.52,
50.444,200,206.82,
50.65,200,206.69,
50.865,200,214.64,
51.072,200,206.43,
51.293,200,221.21,
51.516,200,223.49,
51.723,200,206.94,
51.939,200,215.32,
52.146,200,207.77,
52.369,200,222.23,
52.581,200,212.14,
52.795,200,214.48,
53.019,200,223.43,
53.234,200,215.79,
53.458,200,223.15,
53.67,200,212.12,
53.89,200,219.87,
54.107,200,217.73,
54.32,200,212.66,
54.535,200,214.39,
54.743,200,208.15,
54.962,200,218.92,
55.246,200,284.63,
55.484,200,237.41,
55.698,200,214.04,
55.954,200,256.05,
56.158,200,203.99,
56.416,200,257.64,
56.637,200,221.14,
56.843,200,206.75,
57.064,200,220.55,
57.275,200,210.94,
57.498,200,222.55,
57.713,200,215.13,
57.924,200,210.92,
58.182,200,257.9,
58.421,200,239.06,
58.685,200,264.62,
59.032,200,346.84,
59.311,200,278.64,
59.768,200,456.98,
59.989,200,221.06,
60.25,200,260.81,
60.554,200,303.87,
60.704,ERR,150.14,HTTP Error 500: Internal Server Error
60.854,ERR,150.03,HTTP Error 500: Internal Server Error
61.027,ERR,173.62,HTTP Error 500: Internal Server Error
61.166,ERR,139.0,HTTP Error 500: Internal Server Error
61.303,ERR,137.03,HTTP Error 500: Internal Server Error
61.44,ERR,136.77,HTTP Error 500: Internal Server Error
61.627,ERR,186.26,HTTP Error 500: Internal Server Error
61.767,ERR,140.52,HTTP Error 500: Internal Server Error
61.894,ERR,126.69,HTTP Error 500: Internal Server Error
62.025,ERR,130.84,HTTP Error 500: Internal Server Error
62.19,ERR,165.6,HTTP Error 500: Internal Server Error
62.312,ERR,121.91,HTTP Error 500: Internal Server Error
62.435,ERR,122.73,HTTP Error 500: Internal Server Error
62.554,ERR,118.45,HTTP Error 500: Internal Server Error
62.677,ERR,123.21,HTTP Error 500: Internal Server Error
62.821,ERR,144.27,HTTP Error 500: Internal Server Error
62.954,ERR,133.44,HTTP Error 500: Internal Server Error
63.088,ERR,133.03,HTTP Error 500: Internal Server Error
63.209,ERR,121.19,HTTP Error 500: Internal Server Error
63.327,ERR,118.53,HTTP Error 500: Internal Server Error
63.449,ERR,122.16,HTTP Error 500: Internal Server Error
63.566,ERR,116.29,HTTP Error 500: Internal Server Error
63.684,ERR,118.59,HTTP Error 500: Internal Server Error
63.819,ERR,134.71,HTTP Error 500: Internal Server Error
63.936,ERR,116.51,HTTP Error 500: Internal Server Error
64.055,ERR,119.65,HTTP Error 500: Internal Server Error
64.176,ERR,121.1,HTTP Error 500: Internal Server Error
64.298,ERR,121.62,HTTP Error 500: Internal Server Error
64.423,ERR,124.5,HTTP Error 500: Internal Server Error
64.541,ERR,118.59,HTTP Error 500: Internal Server Error
64.665,ERR,123.49,HTTP Error 500: Internal Server Error
64.815,ERR,150.5,HTTP Error 500: Internal Server Error
64.934,ERR,118.45,HTTP Error 500: Internal Server Error
65.055,ERR,121.38,HTTP Error 500: Internal Server Error
65.178,ERR,123.3,HTTP Error 500: Internal Server Error
65.309,ERR,130.11,HTTP Error 500: Internal Server Error
65.432,ERR,123.93,HTTP Error 500: Internal Server Error
65.556,ERR,123.77,HTTP Error 500: Internal Server Error
65.695,ERR,138.25,HTTP Error 500: Internal Server Error
65.833,ERR,138.92,HTTP Error 500: Internal Server Error
65.966,ERR,132.66,HTTP Error 500: Internal Server Error
66.085,ERR,118.99,HTTP Error 500: Internal Server Error
66.209,ERR,123.5,HTTP Error 500: Internal Server Error
66.343,ERR,134.15,HTTP Error 500: Internal Server Error
66.464,ERR,120.53,HTTP Error 500: Internal Server Error
66.582,ERR,118.32,HTTP Error 500: Internal Server Error
66.706,ERR,123.89,HTTP Error 500: Internal Server Error
66.825,ERR,118.59,HTTP Error 500: Internal Server Error
66.943,ERR,117.97,HTTP Error 500: Internal Server Error
67.062,ERR,119.43,HTTP Error 500: Internal Server Error
67.188,ERR,126.2,HTTP Error 500: Internal Server Error
67.311,ERR,123.01,HTTP Error 500: Internal Server Error
67.432,ERR,120.7,HTTP Error 500: Internal Server Error
67.552,ERR,120.21,HTTP Error 500: Internal Server Error
67.673,ERR,120.75,HTTP Error 500: Internal Server Error
67.794,ERR,120.53,HTTP Error 500: Internal Server Error
67.913,ERR,119.57,HTTP Error 500: Internal Server Error
68.035,ERR,121.57,HTTP Error 500: Internal Server Error
68.155,ERR,119.93,HTTP Error 500: Internal Server Error
68.28,ERR,125.16,HTTP Error 500: Internal Server Error
68.4,ERR,120.35,HTTP Error 500: Internal Server Error
68.519,ERR,118.38,HTTP Error 500: Internal Server Error
68.642,ERR,122.75,HTTP Error 500: Internal Server Error
68.76,ERR,118.73,HTTP Error 500: Internal Server Error
68.878,ERR,118.16,HTTP Error 500: Internal Server Error
68.999,ERR,120.22,HTTP Error 500: Internal Server Error
69.116,ERR,117.19,HTTP Error 500: Internal Server Error
69.234,ERR,118.32,HTTP Error 500: Internal Server Error
69.354,ERR,119.4,HTTP Error 500: Internal Server Error
69.472,ERR,118.43,HTTP Error 500: Internal Server Error
69.592,ERR,120.1,HTTP Error 500: Internal Server Error
69.717,ERR,124.42,HTTP Error 500: Internal Server Error
69.834,ERR,117.04,HTTP Error 500: Internal Server Error
69.951,ERR,117.37,HTTP Error 500: Internal Server Error
70.075,ERR,123.87,HTTP Error 500: Internal Server Error
70.195,ERR,120.44,HTTP Error 500: Internal Server Error
70.316,ERR,120.12,HTTP Error 500: Internal Server Error
70.442,ERR,126.03,HTTP Error 500: Internal Server Error
70.561,ERR,119.58,HTTP Error 500: Internal Server Error
70.685,ERR,124.07,HTTP Error 500: Internal Server Error
70.804,ERR,118.99,HTTP Error 500: Internal Server Error
70.924,ERR,119.28,HTTP Error 500: Internal Server Error
71.045,ERR,120.98,HTTP Error 500: Internal Server Error
71.163,ERR,118.49,HTTP Error 500: Internal Server Error
71.285,ERR,121.67,HTTP Error 500: Internal Server Error
71.407,ERR,122.45,HTTP Error 500: Internal Server Error
71.533,ERR,125.37,HTTP Error 500: Internal Server Error
71.653,ERR,120.07,HTTP Error 500: Internal Server Error
71.779,ERR,125.84,HTTP Error 500: Internal Server Error
71.9,ERR,121.8,HTTP Error 500: Internal Server Error
72.017,ERR,116.87,HTTP Error 500: Internal Server Error
72.143,ERR,125.17,HTTP Error 500: Internal Server Error
72.261,ERR,118.49,HTTP Error 500: Internal Server Error
72.379,ERR,118.24,HTTP Error 500: Internal Server Error
72.499,ERR,120.1,HTTP Error 500: Internal Server Error
72.618,ERR,118.99,HTTP Error 500: Internal Server Error
72.742,ERR,123.27,HTTP Error 500: Internal Server Error
72.862,ERR,120.35,HTTP Error 500: Internal Server Error
72.98,ERR,117.96,HTTP Error 500: Internal Server Error
73.114,ERR,134.3,HTTP Error 500: Internal Server Error
73.291,ERR,176.2,HTTP Error 500: Internal Server Error
73.435,ERR,144.65,HTTP Error 500: Internal Server Error
73.553,ERR,117.89,HTTP Error 500: Internal Server Error
73.812,ERR,258.37,HTTP Error 500: Internal Server Error
73.962,ERR,150.84,HTTP Error 500: Internal Server Error
74.091,ERR,128.35,HTTP Error 500: Internal Server Error
74.334,ERR,242.85,HTTP Error 500: Internal Server Error
74.52,ERR,185.87,HTTP Error 500: Internal Server Error
74.677,ERR,157.24,HTTP Error 500: Internal Server Error
74.836,ERR,159.52,HTTP Error 500: Internal Server Error
74.958,ERR,121.14,HTTP Error 500: Internal Server Error
75.077,ERR,119.05,HTTP Error 500: Internal Server Error
75.196,ERR,119.48,HTTP Error 500: Internal Server Error
75.317,ERR,120.56,HTTP Error 500: Internal Server Error
75.437,ERR,119.84,HTTP Error 500: Internal Server Error
75.554,ERR,117.9,HTTP Error 500: Internal Server Error
75.678,ERR,123.79,HTTP Error 500: Internal Server Error
75.799,ERR,121.09,HTTP Error 500: Internal Server Error
75.918,ERR,119.01,HTTP Error 500: Internal Server Error
76.04,ERR,122.0,HTTP Error 500: Internal Server Error
76.163,ERR,122.83,HTTP Error 500: Internal Server Error
76.29,ERR,126.99,HTTP Error 500: Internal Server Error
76.413,ERR,122.4,HTTP Error 500: Internal Server Error
76.533,ERR,119.85,HTTP Error 500: Internal Server Error
76.652,ERR,119.04,HTTP Error 500: Internal Server Error
76.776,ERR,124.39,HTTP Error 500: Internal Server Error
76.911,ERR,135.11,HTTP Error 500: Internal Server Error
77.159,200,247.72,
77.385,200,225.79,
77.606,200,221.03,
77.826,200,220.46,
78.035,200,208.95,
78.243,200,207.69,
78.453,200,210.49,
78.66,200,206.4,
78.87,200,210.44,
79.087,200,216.21,
79.299,200,211.88,
79.511,200,212.24,
79.719,200,208.22,
79.933,200,213.84,
80.14,200,207.58,
80.346,200,205.19,
80.549,200,203.65,
80.765,200,215.29,
80.965,200,199.97,
81.18,200,215.65,
81.392,200,211.19,
81.617,200,225.5,
81.83,200,213.05,
82.042,200,212.16,
82.293,200,250.96,
82.506,200,213.23,
82.721,200,214.47,
82.948,200,227.21,
83.169,200,220.55,
83.405,200,235.97,
83.622,200,217.69,
83.838,200,215.98,
84.05,200,211.15,
84.255,200,205.31,
84.471,200,216.26,
84.68,200,208.35,
84.883,200,203.35,
85.102,200,218.79,
85.314,200,211.93,
85.527,200,213.69,
85.742,200,214.88,
85.966,200,223.29,
86.177,200,211.71,
86.408,200,230.41,
86.618,200,209.84,
86.829,200,211.57,
87.041,200,211.96,
87.25,200,208.61,
87.471,200,220.93,
87.679,200,208.04,
87.891,200,212.55,
88.096,200,204.57,
88.304,200,207.98,
88.515,200,210.74,
88.748,200,232.84,
89.038,200,289.96,
89.283,200,245.73,
89.53,200,247.04,
89.767,200,236.24,
89.982,200,214.84,
90.249,200,267.3,
90.46,200,210.88,
90.735,200,275.46,
90.966,200,231.05,
91.179,200,212.92,
91.404,200,224.82,
91.631,200,226.46,
91.847,200,216.28,
92.073,200,226.27,
92.289,200,215.91,
92.516,200,226.41,
92.725,200,209.14,
92.935,200,210.37,
93.153,200,217.73,
93.368,200,214.74,
93.594,200,226.68,
93.817,200,222.87,
94.023,200,206.15,
94.237,200,213.69,
94.451,200,214.29,
94.666,200,214.39,
94.871,200,205.23,
95.078,200,207.15,
95.3,200,221.44,
95.529,200,229.08,
95.752,200,223.5,
95.974,200,221.45,
96.185,200,211.14,
96.45,200,264.9,
96.663,200,213.29,
96.896,200,233.12,
97.12,200,223.77,
97.336,200,216.21,
97.61,200,273.63,
97.822,200,211.87,
98.031,200,208.76,
98.243,200,212.85,
98.448,200,204.89,
98.664,200,216.07,
98.871,200,206.31,
99.081,200,210.65,
99.299,200,217.83,
99.511,200,211.24,
99.723,200,212.0,
99.935,200,211.96,
100.203,200,268.35,
100.42,200,217.02,
100.633,200,212.67,
100.847,200,214.6,
101.057,200,210.19,
101.286,200,228.6,
101.499,200,213.05,
101.715,200,215.45,
101.93,200,215.49,
102.147,200,217.14,
102.365,200,217.19,
102.577,200,212.34,
102.796,200,219.2,
103.014,200,217.68,
103.222,200,208.47,
103.443,200,220.26,
103.709,200,266.13,
104.113,200,404.55,
104.561,200,447.75,
104.842,200,280.63,
105.059,200,217.02,
105.274,200,214.87,
