t_s,status,latency_ms,note
0.682,200,682.43,
0.941,200,258.05,
1.152,200,211.41,
1.361,200,208.55,
1.575,200,214.56,
1.802,200,227.35,
2.017,200,214.99,
2.231,200,213.19,
2.439,200,208.42,
2.655,200,215.99,
2.865,200,209.6,
3.078,200,213.06,
3.285,200,206.71,
3.496,200,211.62,
3.71,200,213.7,
3.94,200,230.08,
4.167,200,226.85,
4.374,200,207.03,
4.584,200,209.63,
4.791,200,207.18,
4.999,200,208.14,
5.221,200,222.42,
5.423,200,201.32,
5.643,200,219.89,
5.863,200,220.21,
6.085,200,222.01,
6.331,200,245.81,
6.552,200,221.58,
6.776,200,223.96,
7.023,200,247.02,
7.237,200,213.61,
7.48,200,242.85,
7.69,200,209.93,
7.902,200,212.12,
8.123,200,221.37,
8.335,200,211.88,
8.55,200,214.52,
8.758,200,207.85,
8.968,200,210.2,
9.189,200,221.44,
9.393,200,203.23,
9.636,200,243.13,
9.841,200,205.78,
10.059,200,217.38,
10.268,200,209.01,
10.477,200,209.12,
10.698,200,220.84,
10.917,200,219.46,
11.133,200,216.08,
11.412,200,278.94,
11.621,200,208.23,
11.839,200,218.55,
12.05,200,211.15,
12.265,200,214.13,
12.468,200,203.31,
12.673,200,205.08,
12.889,200,215.8,
13.091,200,202.53,
13.312,200,220.6,
13.526,200,214.14,
13.736,200,209.87,
13.959,200,222.87,
14.179,200,219.77,
14.396,200,217.0,
14.712,200,316.36,
14.991,200,278.69,
15.364,200,373.51,
15.604,200,240.13,
15.816,200,211.52,
16.034,200,218.27,
16.239,200,204.63,
16.471,200,231.89,
16.675,200,204.45,
16.891,200,215.17,
17.117,200,226.94,
17.346,200,228.22,
17.563,200,217.05,
17.771,200,208.01,
17.98,200,208.7,
18.2,200,220.08,
18.406,200,206.76,
18.63,200,223.48,
18.845,200,214.79,
19.055,200,210.2,
19.267,200,212.36,
19.473,200,205.31,
19.69,200,216.88,
19.892,200,202.66,
20.112,200,220.02,
20.316,200,203.57,
20.523,200,207.12,
20.733,200,210.42,
20.946,200,212.45,
21.156,200,210.3,
21.375,200,219.22,
21.585,200,209.31,
21.818,200,233.35,
22.03,200,211.92,
22.27,200,239.82,
22.483,200,212.58,
22.695,200,212.7,
22.919,200,223.73,
23.132,200,213.51,
23.356,200,223.12,
23.573,200,216.87,
23.781,200,208.87,
24.0,200,218.43,
24.212,200,212.51,
24.424,200,211.95,
24.666,200,241.15,
24.875,200,209.7,
25.082,200,207.13,
25.298,200,215.16,
25.502,200,204.88,
25.713,200,211.02,
25.924,200,210.9,
26.142,200,217.21,
26.364,200,222.44,
26.572,200,207.49,
26.795,200,223.01,
27.008,200,213.08,
27.223,200,215.7,
27.439,200,215.93,
27.658,200,218.72,
27.878,200,219.81,
28.091,200,212.73,
28.31,200,219.67,
28.526,200,215.86,
28.732,200,206.21,
28.948,200,215.83,
29.161,200,212.53,
29.375,200,213.93,
29.737,200,362.58,
30.036,200,298.54,
30.341,200,305.4,
30.668,200,326.61,
30.876,200,207.73,
31.088,200,211.87,
31.311,200,223.3,
31.521,200,210.47,
31.78,200,258.85,
31.994,200,213.39,
32.219,200,225.05,
32.436,200,217.03,
32.653,200,217.42,
32.875,200,221.32,
33.091,200,216.2,
33.326,200,234.83,
33.54,200,214.23,
33.747,200,206.8,
33.963,200,216.71,
34.19,200,226.53,
34.565,200,374.94,
34.99,200,424.98,
35.206,200,215.69,
35.417,200,211.61,
35.621,200,203.95,
35.833,200,211.39,
36.04,200,207.71,
36.253,200,212.11,
36.477,200,224.07,
36.688,200,211.01,
36.923,200,235.78,
37.133,200,209.98,
37.346,200,212.08,
37.564,200,218.89,
37.784,200,219.91,
38.008,200,223.93,
38.224,200,216.04,
38.431,200,206.47,
38.647,200,215.82,
38.857,200,209.88,
39.15,200,293.79,
39.394,200,243.21,
39.6,200,205.98,
39.81,200,210.25,
40.024,200,214.42,
40.26,200,235.31,
40.466,200,206.6,
40.675,200,208.25,
40.896,200,221.21,
41.103,200,207.56,
41.332,200,228.24,
41.557,200,225.18,
41.776,200,219.55,
41.998,200,221.98,
42.217,200,218.64,
42.432,200,215.32,
42.64,200,207.94,
42.863,200,222.95,
43.078,200,214.23,
43.287,200,209.69,
43.501,200,214.0,
43.708,200,207.02,
43.913,200,204.43,
44.135,200,222.66,
44.34,200,204.03,
44.564,200,224.78,
44.831,200,266.38,
45.053,200,222.06,
45.272,200,219.02,
45.549,200,277.35,
45.781,200,231.45,
46.01,200,229.76,
46.222,200,211.49,
46.466,200,244.3,
46.679,200,212.53,
46.889,200,209.73,
47.101,200,212.71,
47.308,200,206.76,
47.522,200,214.34,
47.725,200,202.46,
47.93,200,204.77,
48.149,200,219.48,
48.36,200,210.49,
48.577,200,217.65,
48.785,200,207.2,
48.996,200,211.71,
49.264,200,267.73,
49.482,200,217.73,
49.697,200,214.62,
49.906,200,209.27,
50.129,200,223.17,
50.371,200,242.12,
50.583,200,212.32,
50.798,200,214.67,
51.014,200,216.18,
51.228,200,213.16,
51.462,200,234.2,
51.673,200,211.02,
51.895,200,221.85,
52.114,200,219.13,
52.322,200,207.77,
52.535,200,213.59,
52.74,200,204.34,
52.967,200,226.87,
53.305,200,338.67,
53.518,200,212.61,
53.733,200,214.7,
53.946,200,213.15,
54.169,200,223.49,
54.381,200,211.84,
54.587,200,206.27,
54.799,200,211.89,
55.007,200,207.99,
55.227,200,219.75,
55.429,200,201.98,
55.643,200,213.43,
55.848,200,204.95,
56.053,200,205.6,
56.291,200,237.8,
56.507,200,215.58,
56.725,200,218.82,
56.952,200,227.03,
57.161,200,208.78,
57.407,200,245.72,
57.617,200,210.16,
57.834,200,217.2,
58.045,200,210.57,
58.259,200,213.72,
58.477,200,218.62,
58.693,200,215.92,
58.917,200,224.02,
59.139,200,221.99,
59.357,200,217.52,
59.734,200,376.8,
60.012,200,278.57,
60.555,200,542.9,
60.861,200,305.62,
61.091,200,230.55,
61.369,200,277.06,
61.607,200,238.64,
61.868,200,261.27,
62.1,200,231.18,
62.333,200,233.65,
62.553,200,220.15,
62.759,200,205.8,
62.975,200,215.2,
63.2,200,225.92,
63.48,200,279.9,
63.699,200,218.16,
63.903,200,204.65,
64.108,200,205.22,
64.371,200,262.06,
64.579,200,208.25,
64.808,200,229.43,
65.027,200,219.16,
65.267,200,240.04,
65.527,200,259.53,
65.768,200,241.23,
65.986,200,218.1,
66.201,200,214.71,
66.43,200,228.76,
66.649,200,219.47,
66.895,200,245.98,
67.121,200,225.28,
67.365,200,243.94,
67.594,200,229.44,
67.823,200,228.54,
68.038,200,215.21,
68.268,200,230.48,
68.495,200,227.01,
68.719,200,223.27,
68.938,200,219.5,
69.165,200,226.68,
69.389,200,223.95,
69.632,200,243.52,
69.86,200,227.07,
70.088,200,228.53,
70.31,200,221.56,
70.515,200,205.65,
70.727,200,211.18,
70.935,200,207.97,
71.146,200,211.7,
71.368,200,221.93,
71.579,200,210.71,
71.812,200,233.27,
72.024,200,211.55,
72.244,200,220.28,
72.46,200,216.05,
72.669,200,209.09,
72.893,200,223.63,
73.103,200,209.89,
73.319,200,216.02,
73.541,200,221.61,
73.751,200,210.01,
73.969,200,218.27,
74.175,200,206.55,
74.382,200,206.64,
74.702,200,320.08,
74.942,200,240.23,
75.52,200,577.54,
75.735,200,214.87,
75.95,200,214.91,
76.173,200,222.68,
76.422,200,249.09,
76.638,200,216.71,
76.867,200,228.38,
77.104,200,236.85,
77.346,200,241.87,
77.583,200,237.79,data-service respondió con error
77.854,200,270.59,
78.091,200,237.44,
78.314,200,222.51,
78.573,200,258.6,
78.825,200,252.13,
79.048,200,223.23,
79.261,200,213.48,
79.469,200,207.53,
79.691,200,221.88,
79.91,200,219.24,
80.127,200,217.13,
80.347,200,220.16,
80.557,200,209.95,
80.774,200,216.45,
80.983,200,208.9,
81.191,200,208.28,
81.403,200,212.31,
81.612,200,208.89,
81.837,200,224.19,
82.047,200,210.88,
82.288,200,240.33,
82.516,200,228.18,
82.705,200,188.84,data-service respondió con error
82.925,200,220.35,
83.139,200,213.98,
83.352,200,213.06,
83.571,200,218.88,
83.786,200,214.96,
84.013,200,227.14,
84.209,200,195.95,data-service respondió con error
84.417,200,207.48,
84.674,200,257.05,
84.885,200,211.4,
85.096,200,210.94,
85.318,200,222.11,
85.531,200,212.92,
85.75,200,219.01,
85.974,200,223.91,
86.192,200,217.47,
86.411,200,219.51,
86.625,200,213.41,
86.848,200,223.27,
87.069,200,221.24,
87.282,200,212.67,
87.505,200,222.98,
87.701,200,195.99,data-service respondió con error
87.919,200,218.09,
88.131,200,212.37,
88.349,200,217.95,
88.568,200,219.11,
88.778,200,209.76,
88.993,200,215.13,
89.21,200,217.02,
89.422,200,211.67,
89.798,200,375.75,
90.025,200,227.34,
90.363,200,337.68,data-service respondió con error
90.729,200,366.29,
91.117,200,387.48,
91.348,200,231.57,
91.56,200,211.19,
91.811,200,251.83,
92.026,200,214.48,
92.242,200,215.96,
92.461,200,219.02,
92.673,200,212.5,
92.897,200,223.37,
93.109,200,212.26,
93.322,200,213.04,
93.542,200,220.12,
93.752,200,209.88,
93.972,200,219.31,
94.19,200,218.45,
94.409,200,219.38,
94.68,200,270.61,
94.895,200,215.05,
95.099,200,203.34,data-service respondió con error
95.322,200,223.6,
95.542,200,219.65,
95.758,200,216.38,
95.978,200,219.26,
96.186,200,208.29,
96.414,200,227.91,
96.596,200,181.8,data-service respondió con error
96.823,200,227.11,
97.037,200,214.71,
97.253,200,215.09,
97.482,200,229.59,
97.695,200,213.12,
97.927,200,231.88,
98.137,200,209.93,
98.36,200,222.79,
98.574,200,214.09,
98.781,200,207.29,
98.998,200,216.18,
99.207,200,208.99,
99.398,200,191.07,data-service respondió con error
99.618,200,220.76,
99.825,200,206.63,
100.041,200,215.61,
100.27,200,229.72,
100.522,200,252.01,
100.729,200,206.57,
100.932,200,202.6,data-service respondió con error
101.151,200,219.28,
101.372,200,220.65,
101.588,200,215.83,
101.812,200,224.62,
102.032,200,220.26,
102.243,200,210.9,
102.465,200,221.37,
102.676,200,211.36,
102.891,200,214.44,
103.119,200,228.13,
103.326,200,206.83,
103.549,200,223.66,
103.764,200,214.42,
103.98,200,215.96,
104.295,200,315.2,
104.507,200,212.35,
104.772,200,264.35,
104.995,200,223.05,
105.232,200,237.43,
105.482,200,249.66,
105.697,200,215.02,
105.919,200,222.4,
106.134,200,215.14,
106.378,200,243.14,
106.588,200,210.14,
106.772,200,184.14,data-service respondió con error
106.998,200,225.69,
107.208,200,210.18,
107.441,200,232.95,data-service respondió con error
107.655,200,213.87,
107.863,200,208.69,
108.082,200,218.49,
108.305,200,222.82,
108.528,200,223.49,
108.712,200,183.78,data-service respondió con error
108.92,200,207.69,
109.106,200,186.73,data-service respondió con error
109.318,200,211.45,
109.542,200,224.44,
109.766,200,223.78,
109.974,200,207.95,
110.168,200,193.44,data-service respondió con error
110.384,200,216.52,
110.597,200,213.19,
110.838,200,240.38,
111.046,200,208.57,
111.26,200,213.85,
111.47,200,209.84,
111.681,200,210.61,
111.901,200,220.04,
112.128,200,226.73,
112.341,200,213.87,
112.552,200,210.72,
112.76,200,208.17,
112.975,200,214.48,
113.192,200,216.61,
113.435,200,243.21,
113.646,200,211.46,
113.856,200,210.12,
114.084,200,227.44,
114.274,200,190.2,data-service respondió con error
114.467,200,192.88,data-service respondió con error
114.697,200,230.11,
114.91,200,212.88,
115.101,200,190.95,data-service respondió con error
115.332,200,230.59,
115.54,200,208.2,
115.765,200,224.75,
115.981,200,215.8,
116.186,200,205.77,
116.431,200,244.98,
116.634,200,202.65,
116.85,200,216.24,
117.068,200,217.42,
117.272,200,204.69,
117.489,200,216.91,
117.696,200,206.85,
117.889,200,192.82,data-service respondió con error
118.075,200,185.72,data-service respondió con error
118.264,200,189.28,data-service respondió con error
118.49,200,226.03,
118.695,200,204.42,
118.909,200,214.57,
119.118,200,208.61,
119.325,200,207.32,
119.618,200,292.59,
119.874,200,256.5,
120.112,200,237.85,
120.492,200,379.44,
120.698,200,206.82,
