t_s,status,latency_ms,note
0.389,200,389.41,
0.638,200,248.16,
0.846,200,208.01,
1.063,200,217.17,
1.286,200,222.95,
1.521,200,235.19,
1.757,200,236.13,
1.973,200,215.44,
2.186,200,212.94,
2.416,200,229.95,
2.626,200,210.69,
2.861,200,234.73,
3.087,200,225.55,
3.324,200,237.69,
3.557,200,232.57,
3.764,200,207.39,
3.995,200,230.78,
4.209,200,213.55,
4.461,200,252.58,
4.671,200,209.59,
4.882,200,211.27,
5.107,200,224.72,
5.329,200,221.65,
5.585,200,256.32,
5.816,200,230.61,
6.039,200,223.07,
6.264,200,225.14,
6.514,200,250.61,
6.774,200,259.79,
7.321,200,546.91,
7.701,200,379.58,
7.983,200,282.35,
8.328,200,344.82,
8.558,200,230.33,
8.789,200,230.75,
9.004,200,214.56,
9.216,200,212.02,
9.446,200,230.4,
9.685,200,238.62,
9.921,200,236.3,
10.205,200,283.43,
10.427,200,222.55,
10.655,200,227.41,
10.87,200,215.36,
11.093,200,222.82,
11.315,200,222.41,
11.535,200,219.68,
11.754,200,219.6,
11.965,200,210.85,
12.21,200,244.85,
12.422,200,212.15,
12.658,200,235.7,
12.88,200,222.02,
13.091,200,210.48,
13.317,200,226.86,
13.529,200,211.24,
13.744,200,214.81,
13.971,200,227.44,
14.206,200,234.66,
14.46,200,254.03,
14.671,200,211.31,
14.883,200,212.15,
15.101,200,217.34,
15.316,200,215.1,
15.539,200,223.22,
15.765,200,226.06,
15.978,200,213.23,
16.194,200,216.05,
16.406,200,211.61,
16.634,200,228.48,
16.852,200,217.05,
17.067,200,215.3,
17.296,200,229.14,
17.515,200,219.22,
17.73,200,215.12,
17.951,200,221.03,
18.167,200,215.72,
18.386,200,219.07,
18.617,200,231.22,
18.862,200,244.67,
19.096,200,234.21,
19.337,200,240.78,
19.566,200,229.16,
19.793,200,226.51,
20.015,200,222.5,
20.237,200,221.7,
20.473,200,236.05,
20.697,200,223.82,
20.91,200,213.05,
21.132,200,221.72,
21.378,200,246.22,
21.606,200,227.75,
21.924,200,318.65,
22.446,200,521.03,
22.914,200,468.84,
23.541,200,626.25,
23.808,200,267.32,
24.05,200,241.98,
24.296,200,245.72,
24.551,200,255.53,
24.772,200,220.79,
24.986,200,214.37,
25.21,200,223.22,
25.444,200,234.2,
25.735,200,291.41,
25.968,200,232.59,
26.217,200,248.77,
26.442,200,225.24,
26.68,200,237.78,
26.914,200,234.63,
27.158,200,243.3,
27.379,200,221.34,
27.607,200,228.2,
27.831,200,223.97,
28.056,200,225.04,
28.274,200,217.72,
28.485,200,210.44,
28.693,200,208.26,
28.908,200,215.61,
29.126,200,217.82,
29.359,200,232.64,
29.576,200,216.95,
29.788,200,212.48,
30.011,200,223.01,
30.223,200,211.64,
30.508,200,284.59,
30.72,200,212.63,
30.933,200,212.63,
31.154,200,221.11,
31.372,200,218.37,
31.588,200,215.42,
31.8,200,212.45,
32.037,200,236.6,
32.257,200,219.48,
32.466,200,209.06,
32.678,200,212.31,
32.909,200,231.17,
33.122,200,212.57,
33.339,200,217.19,
33.565,200,226.43,
33.78,200,214.35,
34.048,200,268.31,
34.268,200,219.85,
34.505,200,237.13,
34.718,200,213.3,
34.931,200,212.12,
35.153,200,221.92,
35.375,200,222.36,
35.594,200,219.41,
35.817,200,222.36,
36.036,200,219.27,
36.263,200,227.04,
36.476,200,212.66,
36.704,200,228.13,
37.288,200,584.0,
37.679,200,390.69,
37.905,200,225.84,
38.152,200,247.23,
38.403,200,251.48,
38.691,200,287.59,
38.912,200,220.62,
39.135,200,223.32,
39.425,200,290.08,
39.656,200,230.82,
39.882,200,226.23,
40.099,200,217.03,
40.318,200,218.94,
40.538,200,220.37,
40.756,200,217.4,
40.974,200,218.52,
41.194,200,219.61,
41.41,200,216.34,
41.683,200,272.69,
41.918,200,234.52,
42.144,200,226.69,
42.361,200,216.95,
42.574,200,212.15,
42.793,200,219.57,
43.008,200,215.06,
43.221,200,213.17,
43.453,200,232.08,
43.68,200,226.35,
43.916,200,235.98,
44.141,200,225.59,
44.375,200,233.05,
44.621,200,245.98,
44.834,200,213.89,
45.063,200,228.84,
45.28,200,217.02,
45.495,200,214.39,
45.791,200,296.3,
46.025,200,234.17,
46.254,200,229.14,
46.512,200,257.56,
46.742,200,230.07,
47.017,200,275.37,
47.282,200,264.26,
47.512,200,230.33,
47.787,200,275.23,
48.046,200,258.71,
48.275,200,228.84,
48.497,200,221.65,
48.757,200,259.99,
48.991,200,233.98,
49.21,200,219.27,
49.426,200,216.56,
49.743,200,316.29,
49.965,200,222.63,
50.195,200,229.44,
50.411,200,216.4,
50.632,200,220.59,
50.878,200,246.09,
51.105,200,227.06,
51.34,200,234.71,
51.56,200,220.33,
51.785,200,224.38,
52.316,200,531.0,
52.906,200,590.76,
53.457,200,550.77,
53.681,200,224.22,
53.891,200,209.13,
54.148,200,257.52,
54.386,200,237.79,
54.6,200,214.53,
54.824,200,223.9,
55.037,200,212.72,
55.259,200,221.7,
55.479,200,220.16,
55.702,200,222.64,
55.925,200,223.33,
56.14,200,215.01,
56.364,200,223.53,
56.586,200,221.96,
56.803,200,217.27,
57.022,200,219.55,
57.241,200,218.78,
57.459,200,217.91,
57.674,200,215.25,
57.909,200,234.34,
58.132,200,223.65,
58.387,200,254.66,
58.615,200,228.31,
58.846,200,230.88,
59.069,200,222.73,
59.322,200,252.49,
59.556,200,234.88,
59.779,200,222.33,
60.021,200,242.62,
60.249,200,227.33,
60.557,200,308.21,
60.779,200,221.85,
60.989,200,210.47,
61.208,200,218.95,
61.457,200,248.24,
61.671,200,213.89,
61.893,200,222.9,
62.104,200,210.9,
62.318,200,213.36,
62.527,200,209.34,
62.746,200,218.83,
62.958,200,212.13,
63.168,200,210.09,
63.39,200,221.23,
63.614,200,224.82,
63.829,200,215.02,
64.059,200,229.24,
64.27,200,210.86,
64.508,200,238.56,
64.72,200,212.28,
64.942,200,221.37,
65.157,200,215.49,
65.383,200,225.52,
65.634,200,251.28,
65.862,200,227.59,
66.135,200,273.3,
66.475,200,339.78,
66.824,200,348.84,
67.315,200,490.92,
67.827,200,512.28,
68.282,200,454.61,
68.499,200,217.09,
