t_s,status,latency_ms,note
0.365,200,364.79,
0.601,200,236.35,
0.823,200,222.14,
1.094,200,270.76,
1.407,200,312.58,
1.634,200,227.08,
1.848,200,214.06,
2.071,200,223.33,
2.28,200,208.42,
2.492,200,212.42,
2.703,200,210.64,
2.925,200,222.66,
3.138,200,213.01,
3.349,200,210.33,
3.565,200,216.19,
3.781,200,215.55,
3.985,200,204.68,
4.199,200,213.9,
4.406,200,206.49,
4.62,200,214.54,
4.832,200,211.24,
5.075,200,243.05,
5.285,200,210.05,
5.498,200,213.35,
5.709,200,210.68,
5.915,200,205.91,
6.126,200,211.65,
6.352,200,225.39,
6.561,200,208.88,
6.785,200,224.1,
7.008,200,223.25,
7.328,200,319.85,
7.555,200,226.65,
7.813,200,257.81,
8.048,200,235.31,
8.276,200,228.09,
8.493,200,217.38,
8.703,200,209.61,
8.944,200,240.98,
9.183,200,239.13,
9.44,200,256.61,
9.664,200,224.3,
9.924,200,260.04,
10.161,200,237.2,
10.377,200,215.71,
10.595,200,218.14,
10.822,200,226.45,
11.032,200,210.11,
11.25,200,218.54,
11.459,200,208.2,
11.726,200,267.78,
12.108,200,381.82,
12.336,200,227.46,
12.555,200,219.38,
12.77,200,215.03,
13.013,200,243.0,
13.233,200,220.22,
13.443,200,209.73,
13.702,200,258.58,
13.934,200,232.67,
14.153,200,218.78,
14.366,200,212.52,
14.572,200,205.88,
14.79,200,217.81,
15.025,200,235.67,
15.317,200,291.41,
15.565,200,248.24,
15.927,200,361.78,
16.155,200,227.92,
16.403,200,248.64,
16.61,200,207.11,
16.828,200,217.16,
17.044,200,216.54,
17.26,200,215.77,
17.478,200,217.95,
17.69,200,211.58,
17.9,200,210.87,
18.11,200,209.47,
18.325,200,214.99,
18.544,200,219.14,
18.757,200,213.22,
18.975,200,217.8,
19.183,200,207.54,
19.393,200,210.56,
19.612,200,219.04,
19.822,200,209.97,
20.052,200,229.49,
20.26,200,208.21,
20.466,200,205.98,
20.691,200,224.47,
20.905,200,214.11,
21.156,200,251.37,
21.371,200,214.91,
21.586,200,214.9,
21.809,200,223.43,
22.019,200,209.56,
22.245,200,225.77,
22.456,200,210.71,
22.661,200,204.94,
22.877,200,216.86,
23.084,200,206.33,
23.317,200,233.05,
23.634,200,317.06,service-b respondió con error
24.209,200,575.24,
24.451,200,242.04,
24.876,200,425.01,
25.304,200,427.75,
25.713,200,408.88,
26.126,200,413.05,
26.555,200,428.99,
26.777,200,221.67,
27.006,200,229.76,
27.417,200,410.4,
27.636,200,218.75,
27.858,200,222.37,
28.267,200,409.42,
28.688,200,420.85,
29.11,200,421.99,
29.318,200,207.68,
29.551,200,233.26,
29.77,200,219.19,
30.019,200,248.21,
30.433,200,414.53,
30.756,200,322.52,
31.1,200,344.26,
31.516,200,415.73,
31.741,200,225.29,
32.163,200,422.31,
32.571,200,407.19,
32.994,200,422.93,
33.413,200,418.95,
33.833,200,420.54,
34.24,200,407.04,
34.649,200,408.45,
34.86,200,211.44,
35.077,200,217.13,
35.282,200,204.44,
35.488,200,205.92,
35.904,200,416.19,
36.115,200,211.24,
36.337,200,222.08,
36.563,200,225.81,
36.968,200,405.06,
37.187,200,218.63,
37.605,200,418.17,
37.831,200,225.66,
38.041,200,210.61,
38.248,200,206.88,
38.46,200,211.68,
38.875,200,415.04,
39.287,200,411.59,
39.697,200,410.29,
40.111,200,413.89,
40.518,200,407.4,
40.93,200,411.34,
41.356,200,426.6,
41.789,200,433.05,
42.407,200,617.35,
42.832,200,425.1,
43.26,200,427.99,
43.688,200,427.81,
44.105,200,417.32,
44.524,200,418.93,
44.938,200,413.76,
45.464,200,526.44,
45.939,200,474.99,
46.395,200,456.18,
46.814,200,418.93,
47.224,200,409.96,
47.658,200,433.35,
48.112,200,454.09,
48.535,200,423.02,
48.952,200,417.39,
49.362,200,409.7,
49.778,200,416.55,
50.195,200,416.38,
50.603,200,408.6,
51.01,200,406.25,
51.43,200,419.98,
51.842,200,412.07,
52.258,200,416.38,
52.699,200,441.17,
53.116,200,416.48,
53.54,200,424.14,
53.955,200,415.02,
54.375,200,419.46,
54.787,200,412.76,
55.196,200,409.1,
55.608,200,411.45,
56.018,200,410.11,
56.45,200,431.63,
56.865,200,415.71,
57.298,200,432.35,
57.715,200,417.47,
58.123,200,407.28,
58.541,200,418.34,
58.956,200,415.21,
59.378,200,421.43,
59.79,200,411.9,
60.222,200,432.24,
60.765,200,542.85,
61.18,200,415.67,
61.629,200,448.75,
62.06,200,431.0,
62.503,200,443.17,
62.928,200,424.62,
63.343,200,414.99,
63.769,200,425.73,
64.18,200,411.56,
64.595,200,414.51,
65.015,200,419.86,
65.425,200,409.91,
65.841,200,415.82,
66.261,200,420.31,
66.682,200,420.85,
67.092,200,409.73,
67.521,200,429.25,
67.942,200,421.58,
68.37,200,427.82,
68.785,200,414.76,
69.194,200,409.33,
69.609,200,414.55,
70.023,200,414.42,
70.434,200,410.86,
70.839,200,405.07,
71.256,200,416.19,
71.673,200,416.94,
72.107,200,434.66,
72.528,200,420.32,
72.95,200,422.34,
73.37,200,419.64,
73.78,200,410.72,
74.191,200,410.82,
74.605,200,413.42,
75.074,200,468.92,
75.66,200,585.96,
76.211,200,551.1,
76.644,200,433.58,
77.063,200,418.3,
77.487,200,424.47,
77.897,200,409.45,
78.312,200,415.31,
78.735,200,423.07,
79.154,200,418.44,
79.571,200,417.63,
79.984,200,412.95,
80.396,200,411.59,
80.808,200,411.97,
81.228,200,420.16,
81.635,200,406.82,
82.048,200,413.16,
82.46,200,412.38,
82.876,200,416.04,
83.294,200,417.49,
83.714,200,420.05,
84.134,200,420.01,
84.553,200,418.55,
84.971,200,418.61,
85.382,200,410.87,
85.799,200,416.63,
86.22,200,420.96,
86.661,200,441.26,
87.081,200,419.61,
87.506,200,424.78,
87.915,200,409.53,
88.366,200,451.19,
88.781,200,414.68,
89.19,200,408.68,
89.607,200,416.96,
90.034,200,427.14,
90.591,200,557.36,
91.163,200,571.61,
91.59,200,426.92,
92.001,200,411.04,
92.42,200,419.04,
92.832,200,411.59,
93.248,200,416.19,
93.666,200,418.07,
94.086,200,419.77,
94.505,200,418.89,
94.927,200,422.41,
95.368,200,441.21,
95.778,200,409.51,
96.196,200,417.9,
96.609,200,413.78,
97.018,200,408.29,
97.434,200,416.01,
97.844,200,409.78,
98.265,200,421.93,
98.675,200,409.33,
99.094,200,419.55,
99.512,200,417.5,
99.916,200,403.83,
100.322,200,405.76,
100.73,200,408.53,
101.135,200,405.05,
101.555,200,420.26,
101.965,200,409.71,
102.383,200,417.74,
102.848,200,464.56,
103.377,200,529.19,
103.823,200,446.1,
104.272,200,449.15,
104.719,200,446.61,
105.185,200,466.2,
105.683,200,498.58,
106.238,200,554.53,
106.679,200,440.71,
107.14,200,460.99,
107.566,200,425.9,
107.989,200,423.16,
108.411,200,422.18,
108.84,200,429.37,
109.277,200,437.0,
109.713,200,435.73,
110.127,200,414.03,
110.534,200,407.2,
110.947,200,412.63,
111.364,200,416.47,
111.77,200,405.94,
112.183,200,413.52,
112.6,200,417.09,
113.017,200,417.22,
